text,isDeleted,favorites,retweets,day,time,contains_word,wall,fake_news,media,democrat,great,proud_boys,election_period
the recent statement by chris krebs on the security of the 2020 election was highly inaccurate in that there were massive improprieties and fraud  including dead people voting poll watchers not allowed into polling locations â€œglitchesâ€ in the voting machines which changed,f,229328,51276,11/18/2020,0:07,0,0,0,0,0,0,0,Post
yesterdayâ€™s news conference being broadcast in full now on  enjoy,f,210472,33894,11/27/2020,15:03,0,0,0,0,0,0,0,Post
have a great â€œmagagrasâ€ rally today on our wonderful long island cut taxes stop crime vote for trump our city and state are a mess what do you have to lose thank you,f,170037,28958,10/25/2020,13:57,1,0,0,0,0,1,0,Post
congratulations to  for his dogged pursuit as chairman of homeland of political corruption,f,115627,21133,10/25/2020,15:51,0,0,0,0,0,0,0,Post
important news conference today by lawyers on a very clear and viable path to victory pieces are very nicely falling into place rnc at 1200 pm,f,331293,66649,11/19/2020,12:59,0,0,0,0,0,0,0,Post
all newly rebuilt military ,f,147857,27826,11/27/2020,15:28,0,0,0,0,0,0,0,Post
thank you new hshire,f,60488,10163,10/25/2020,18:31,0,0,0,0,0,0,0,Post
amazing ,f,42462,8460,10/25/2020,18:39,0,0,0,0,0,0,0,Post
big victory moments ago in the state of nevada the all democrat county commissioner race on same ballot as president just thrown out because of large scale voter discrepancy clark county officials do not have confidence in their own election security major impact ,f,282313,73024,11/16/2020,23:43,1,0,0,0,1,0,0,Post
they wouldâ€™nt let republican poll watchers into the counting rooms unconstitutional,f,375037,62979,11/18/2020,14:54,0,0,0,0,0,0,0,Post
wrong at first they voted against because there were far more votes than people sad then they were threatened screamed at and viciously harassed and were forced to change their vote but then refused as american patriots to sign the documents 71 mess donâ€™t harass ,f,139281,37876,11/18/2020,13:55,0,0,0,0,0,0,0,Post
the only thing secure about our 2020 election was that it was virtuallyâ impenetrableâ by foreign powers on that the trump administration takes great credit unfortunately the radical left democrats dominion and others were perhaps more successful,f,229381,43979,11/18/2020,0:25,1,0,0,0,1,1,0,Post
votes from trump to biden late voting and many more therefore effective immediately chris krebs has been terminated asâ director of the cybersecurity and infrastructure security agency,f,176160,34589,11/18/2020,0:07,1,0,0,1,0,0,0,Post
â€œdead people votedâ€ ,f,174778,41151,11/17/2020,22:40,0,0,0,0,0,0,0,Post
so much truth ,f,194626,40965,11/27/2020,15:31,0,0,0,0,0,0,0,Post
well itâ€™s really quite simple you just canâ€™t have more votes than people ,f,192241,44418,11/18/2020,2:24,0,0,0,0,0,0,0,Post
more votes than people and that is the least of it ,f,175131,38306,11/18/2020,2:22,0,0,0,0,0,0,0,Post
